CardID,Name,Rarity,Type,Life,Cost,Attribute,Power,Counter,Color,Feature,Text,Trigger,SetInfo,ImageFileID,SeriesCode,SeriesName
OP03-001,ポートガス・D・エース,L,LEADER,ライフ5,,特,5000,-,赤,白ひげ海賊団,このリーダーがアタックした時かアタックされた時、自分の手札から任意の枚数イベントかステージカードを捨ててもよい。捨てたカード1枚につき、このリーダーは、このバトル中、パワー+1000。,,強大な敵【OP-03】,,550103,ブースターパック 強大な敵【OP-03】
OP03-001,ポートガス・D・エース,L,LEADER,ライフ5,,特,5000,-,赤,白ひげ海賊団,このリーダーがアタックした時かアタックされた時、自分の手札から任意の枚数イベントかステージカードを捨ててもよい。捨てたカード1枚につき、このリーダーは、このバトル中、パワー+1000。,,強大な敵【OP-03】,,550103,ブースターパック 強大な敵【OP-03】
OP03-002,アディオ,UC,CHARACTER,,コスト4,射,5000,1000,赤,ODYSSEY,【ドン!!×1】【アタック時】相手は、このバトル中、パワー2000以下のキャラの【ブロッカー】を発動できない。,,強大な敵【OP-03】,,550103,ブースターパック 強大な敵【OP-03】
OP03-003,イゾウ,R,CHARACTER,,コスト1,射,2000,1000,赤,ワノ国/白ひげ海賊団,【登場時】自分のデッキの上から5枚を見て、「イゾウ」以外の『白ひげ海賊団』を含む特徴を持つカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,,強大な敵【OP-03】,,550103,ブースターパック 強大な敵【OP-03】
OP03-004,クリエル,C,CHARACTER,,コスト3,射,4000,1000,赤,白ひげ海賊団,このキャラは、登場したターン中、リーダーにアタックできない。【ドン!!×1】このキャラは【速攻】を得る。(このカードは登場したターンにアタックできる),,強大な敵【OP-03】,,550103,ブースターパック 強大な敵【OP-03】
OP03-005,サッチ,UC,CHARACTER,,コスト1,斬,2000,1000,赤,白ひげ海賊団,【起動メイン】【ターン1回】このキャラは、このターン中、パワー+2000。その後、このターン終了時、このキャラをトラッシュに置く。,,強大な敵【OP-03】,,550103,ブースターパック 強大な敵【OP-03】
OP03-006,スピード・ジル,C,CHARACTER,,コスト4,斬,6000,1000,赤,白ひげ海賊団,-,,強大な敵【OP-03】,,550103,ブースターパック 強大な敵【OP-03】
OP03-007,ナミュール,C,CHARACTER,,コスト3,打,5000,1000,赤,魚人族/白ひげ海賊団,-,,強大な敵【OP-03】,,550103,ブースターパック 強大な敵【OP-03】
OP03-008,バギー,UC,CHARACTER,,コスト1,斬,3000,-,赤,バギー海賊団,このキャラは属性(斬)を持つカードとのバトルでKOされない。【登場時】自分のデッキの上から5枚を見て、赤のイベント1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,,強大な敵【OP-03】,,550103,ブースターパック 強大な敵【OP-03】
OP03-009,ハルタ,C,CHARACTER,,コスト2,斬,3000,1000,赤,白ひげ海賊団,【起動メイン】【ターン1回】自分のリーダーかキャラ1枚にレストのドン!!1枚までを、付与する。,,強大な敵【OP-03】,,550103,ブースターパック 強大な敵【OP-03】
OP03-010,フォッサ,C,CHARACTER,,コスト2,斬,2000,1000,赤,白ひげ海賊団,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),,強大な敵【OP-03】,,550103,ブースターパック 強大な敵【OP-03】
OP03-011,ブラメンコ,UC,CHARACTER,,コスト2,打,3000,1000,赤,白ひげ海賊団,【ドン!!×1】【アタック時】相手のキャラ1枚までを、このターン中、パワー-2000。,,強大な敵【OP-03】,,550103,ブースターパック 強大な敵【OP-03】
OP03-012,マーシャル・D・ティーチ,R,CHARACTER,,コスト4,打,6000,-,赤,白ひげ海賊団,【アタック時】自分のパワー4000以上の赤のキャラ1枚をトラッシュに置くことができる：カード1枚を引く。その後、このキャラは、このバトル中、パワー+1000。,,強大な敵【OP-03】,,550103,ブースターパック 強大な敵【OP-03】
OP03-013,マルコ,SR,CHARACTER,,コスト5,特,6000,1000,赤,白ひげ海賊団,【自分のターン中】【登場時】相手のパワー3000以下のキャラ1枚までを、KOする。【KO時】自分の手札からイベント1枚を捨てることができる：このキャラカードをトラッシュからレストで登場させる。,,強大な敵【OP-03】,,550103,ブースターパック 強大な敵【OP-03】
OP03-013,マルコ,SR,CHARACTER,,コスト5,特,6000,1000,赤,白ひげ海賊団,【自分のターン中】【登場時】相手のパワー3000以下のキャラ1枚までを、KOする。【KO時】自分の手札からイベント1枚を捨てることができる：このキャラカードをトラッシュからレストで登場させる。,,強大な敵【OP-03】,,550103,ブースターパック 強大な敵【OP-03】
OP03-014,モンキー・D・ガープ,UC,CHARACTER,,コスト3,打,5000,-,赤,海軍,【アタック時】自分の手札からコスト1の赤のキャラカード1枚までを、登場させる。,,強大な敵【OP-03】,,550103,ブースターパック 強大な敵【OP-03】
OP03-015,リム,UC,CHARACTER,,コスト3,知,2000,-,赤,ODYSSEY,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【相手のターン中】このキャラがKOされた時、相手のリーダーかキャラ1枚までを、このターン中、パワー-2000。,,強大な敵【OP-03】,,550103,ブースターパック 強大な敵【OP-03】
OP03-016,炎帝,R,EVENT,,コスト7,-,-,-,赤,白ひげ海賊団,【メイン】自分のリーダーが「ポートガス・D・エース」の場合、相手のパワー8000以下のキャラ1枚までを、KOし、自分のリーダーは、このターン中、【ダブルアタック】を得て、パワー+3000。(このカードが与えるダメージは2になる),【】相手のパワー6000以下のキャラ1枚までを、KOする。,強大な敵【OP-03】,,550103,ブースターパック 強大な敵【OP-03】
OP03-017,十字火,UC,EVENT,,コスト2,-,-,-,赤,白ひげ海賊団,【メイン】/【カウンター】自分のリーダーが『白ひげ海賊団』を含む特徴を持つ場合、相手のキャラ1枚までを、このターン中、パワー-4000。,【】このカードの【メイン】効果を発動する。,強大な敵【OP-03】,,550103,ブースターパック 強大な敵【OP-03】
OP03-018,火拳,R,EVENT,,コスト3,-,-,-,赤,白ひげ海賊団,【メイン】自分の手札からイベント1枚を捨てることができる：相手の、パワー5000以下のキャラ1枚までとパワー4000以下のキャラ1枚までを、KOする。,【】相手のパワー5000以下のキャラ1枚までを、KOする。,強大な敵【OP-03】,,550103,ブースターパック 強大な敵【OP-03】
OP03-018,火拳,R,EVENT,,コスト3,-,-,-,赤,白ひげ海賊団,【メイン】自分の手札からイベント1枚を捨てることができる：相手の、パワー5000以下のキャラ1枚までとパワー4000以下のキャラ1枚までを、KOする。,【】相手のパワー5000以下のキャラ1枚までを、KOする。,強大な敵【OP-03】,,550103,ブースターパック 強大な敵【OP-03】
OP03-019,火達磨,C,EVENT,,コスト2,-,-,-,赤,白ひげ海賊団,【メイン】自分のリーダーは、このターン中、パワー+4000。,【】相手のリーダーかキャラ1枚までを、このターン中、パワー-10000。,強大な敵【OP-03】,,550103,ブースターパック 強大な敵【OP-03】
OP03-020,ストライカー,C,STAGE,,コスト1,-,-,-,赤,白ひげ海賊団,"【起動メイン】②(コストエリアのドン!!を指定の数レストにできる),このステージをレストにできる：自分のリーダーが「ポートガス・D・エース」の場合、自分のデッキの上から5枚を見て、イベント1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。",,強大な敵【OP-03】,,550103,ブースターパック 強大な敵【OP-03】
OP03-021,クロ,L,LEADER,ライフ5,,斬,5000,-,緑,東の海/クロネコ海賊団,"【起動メイン】③(コストエリアのドン!!を指定の数レストにできる),自分の特徴《東の海》を持つキャラ2枚をレストにできる　：このリーダーをアクティブにし、相手のコスト5以下のキャラ1枚までを、レストにする。",,強大な敵【OP-03】,,550103,ブースターパック 強大な敵【OP-03】
OP03-021,クロ,L,LEADER,ライフ5,,斬,5000,-,緑,東の海/クロネコ海賊団,"【起動メイン】③(コストエリアのドン!!を指定の数レストにできる),自分の特徴《東の海》を持つキャラ2枚をレストにできる　：このリーダーをアクティブにし、相手のコスト5以下のキャラ1枚までを、レストにする。",,強大な敵【OP-03】,,550103,ブースターパック 強大な敵【OP-03】
OP03-022,アーロン,L,LEADER,ライフ4,,斬,5000,-,緑/黄,魚人族/東の海/アーロン一味,【ドン!!×2】【アタック時】①(コストエリアのドン!!を指定の数レストにできる)：自分の手札からコスト4以下の【トリガー】を持つキャラカード1枚までを、登場させる。,,強大な敵【OP-03】,,550103,ブースターパック 強大な敵【OP-03】
OP03-022,アーロン,L,LEADER,ライフ4,,斬,5000,-,緑/黄,魚人族/東の海/アーロン一味,【ドン!!×2】【アタック時】①(コストエリアのドン!!を指定の数レストにできる)：自分の手札からコスト4以下の【トリガー】を持つキャラカード1枚までを、登場させる。,,強大な敵【OP-03】,,550103,ブースターパック 強大な敵【OP-03】
OP03-023,アルビダ,C,CHARACTER,,コスト1,打,3000,1000,緑,東の海/アルビダ海賊団,-,,強大な敵【OP-03】,,550103,ブースターパック 強大な敵【OP-03】
OP03-024,ギン,R,CHARACTER,,コスト4,打,5000,1000,緑,東の海/クリーク海賊団,【登場時】自分のリーダーが特徴《東の海》を持つ場合、相手のコスト4以下のキャラ2枚までを、レストにする。,,強大な敵【OP-03】,,550103,ブースターパック 強大な敵【OP-03】
OP03-024,ギン,R,CHARACTER,,コスト4,打,5000,1000,緑,東の海/クリーク海賊団,【登場時】自分のリーダーが特徴《東の海》を持つ場合、相手のコスト4以下のキャラ2枚までを、レストにする。,,強大な敵【OP-03】,,550103,ブースターパック 強大な敵【OP-03】
OP03-025,クリーク,SR,CHARACTER,,コスト6,射,7000,-,緑,東の海/クリーク海賊団,【登場時】自分の手札1枚を捨てることができる：相手のレストのコスト4以下のキャラ2枚までを、KOする。【ドン!!×1】このキャラは【ダブルアタック】を得る。(このカードが与えるダメージは2になる),,強大な敵【OP-03】,,550103,ブースターパック 強大な敵【OP-03】
OP03-025,クリーク,SR,CHARACTER,,コスト6,射,7000,-,緑,東の海/クリーク海賊団,【登場時】自分の手札1枚を捨てることができる：相手のレストのコスト4以下のキャラ2枚までを、KOする。【ドン!!×1】このキャラは【ダブルアタック】を得る。(このカードが与えるダメージは2になる),,強大な敵【OP-03】,,550103,ブースターパック 強大な敵【OP-03】
OP03-026,クロオビ,UC,CHARACTER,,コスト4,打,3000,1000,緑,魚人族/東の海/アーロン一味,【登場時】自分のリーダーが特徴《東の海》を持つ場合、相手のキャラ1枚までを、レストにする。,【】このカードを登場させる。,強大な敵【OP-03】,,550103,ブースターパック 強大な敵【OP-03】
OP03-027,シャム,C,CHARACTER,,コスト3,斬,4000,1000,緑,東の海/クロネコ海賊団,【登場時】自分のリーダーが特徴《東の海》を持つ場合、相手のコスト2以下のキャラ1枚までを、レストにし、自分の「ブチ」がいない場合、自分の手札から「ブチ」1枚までを、登場させる。,,強大な敵【OP-03】,,550103,ブースターパック 強大な敵【OP-03】
OP03-028,ジャンゴ,R,CHARACTER,,コスト5,特,6000,-,緑,東の海/クロネコ海賊団,【登場時】以下から1つを選ぶ。・自分の特徴《東の海》を持つ、リーダーかコスト6以下のキャラ1枚までを、アクティブにする。・このキャラと相手のキャラ1枚までを、レストにする。,,強大な敵【OP-03】,,550103,ブースターパック 強大な敵【OP-03】
OP03-029,チュウ,UC,CHARACTER,,コスト4,射,3000,1000,緑,魚人族/東の海/アーロン一味,【登場時】相手のレストのコスト4以下のキャラ1枚までを、KOする。,【】このカードを登場させる。,強大な敵【OP-03】,,550103,ブースターパック 強大な敵【OP-03】
OP03-030,ナミ,R,CHARACTER,,コスト2,知,2000,1000,緑,東の海/アーロン一味,【登場時】自分のデッキの上から5枚を見て、「ナミ」以外の緑の特徴《東の海》を持つカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,【】このカードを登場させる。,強大な敵【OP-03】,,550103,ブースターパック 強大な敵【OP-03】
