CardID,Name,Rarity,Type,Cost_Life_Type,Cost_Life_Value,Attribute,Power,Counter,Color,Feature,Text,Trigger,SetInfo,ImageFileID,SeriesCode,SeriesName
OP05-001,サボ,L,LEADER,ライフ,4,特,5000,-,赤/黒,革命軍,【ドン!!×1】【相手のターン中】【ターン1回】自分のパワー5000以上のキャラがKOされる場合、そのキャラはKOされる代わりに、このターン中、パワー-1000できる。,,新時代の主役【OP-05】,,550105,ブースターパック 新時代の主役【OP-05】
OP05-001,サボ,L,LEADER,ライフ,4,特,5000,-,赤/黒,革命軍,【ドン!!×1】【相手のターン中】【ターン1回】自分のパワー5000以上のキャラがKOされる場合、そのキャラはKOされる代わりに、このターン中、パワー-1000できる。,,新時代の主役【OP-05】,,550105,ブースターパック 新時代の主役【OP-05】
OP05-002,ベロ・ベティ,L,LEADER,ライフ,4,特,5000,-,赤/黄,革命軍,【起動メイン】【ターン1回】自分の手札から特徴《革命軍》を持つカード1枚を捨てることができる：自分の特徴《革命軍》か【トリガー】を持つキャラ3枚までを、このターン中、パワー+3000。,,新時代の主役【OP-05】,,550105,ブースターパック 新時代の主役【OP-05】
OP05-002,ベロ・ベティ,L,LEADER,ライフ,4,特,5000,-,赤/黄,革命軍,【起動メイン】【ターン1回】自分の手札から特徴《革命軍》を持つカード1枚を捨てることができる：自分の特徴《革命軍》か【トリガー】を持つキャラ3枚までを、このターン中、パワー+3000。,,新時代の主役【OP-05】,,550105,ブースターパック 新時代の主役【OP-05】
OP05-003,イナズマ,UC,CHARACTER,コスト,3,斬,4000,1000,赤,革命軍,このキャラ以外の自分のパワー7000以上のキャラがいる場合、このキャラは【速攻】を得る。(このカードは登場したターンにアタックできる),,新時代の主役【OP-05】,,550105,ブースターパック 新時代の主役【OP-05】
OP05-004,エンポリオ・イワンコフ,UC,CHARACTER,コスト,4,特,5000,1000,赤,革命軍,【起動メイン】【ターン1回】このキャラのパワーが7000以上の場合、自分の手札から「エンポリオ・イワンコフ」以外のパワー5000以下の特徴《革命軍》を持つキャラカード1枚までを、登場させる。,,新時代の主役【OP-05】,,550105,ブースターパック 新時代の主役【OP-05】
OP05-005,カラス,R,CHARACTER,コスト,4,特,5000,1000,赤,革命軍,【登場時】自分のリーダーが特徴《革命軍》を持つ場合、相手のリーダーかキャラ1枚までを、このターン中、パワー-1000。【アタック時】このキャラのパワーが7000以上の場合、相手のリーダーかキャラ1枚までを、このターン中、パワー-1000。,,新時代の主役【OP-05】,,550105,ブースターパック 新時代の主役【OP-05】
OP05-006,コアラ,SR,CHARACTER,コスト,2,打,3000,2000,赤,革命軍,【登場時】自分のリーダーが特徴《革命軍》を持つ場合、相手のキャラ1枚までを、このターン中、パワー-3000。,,新時代の主役【OP-05】,,550105,ブースターパック 新時代の主役【OP-05】
OP05-006,コアラ,SR,CHARACTER,コスト,2,打,3000,2000,赤,革命軍,【登場時】自分のリーダーが特徴《革命軍》を持つ場合、相手のキャラ1枚までを、このターン中、パワー-3000。,,新時代の主役【OP-05】,,550105,ブースターパック 新時代の主役【OP-05】
OP05-007,サボ,SR,CHARACTER,コスト,6,特,7000,-,赤,革命軍,【登場時】相手のキャラ2枚までを、パワーの合計が4000以下になるようにKOする。,,新時代の主役【OP-05】,,550105,ブースターパック 新時代の主役【OP-05】
