CardID,Name,Rarity,Type,Color,Cost_Life_Type,Cost_Life_Value,Power,Counter,Attribute,Feature,Block,Text,Trigger,SetInfo,ImageFileID,ImageFileID_small
OP14-001,トラファルガー・ロー,L,LEADER,赤,ライフ,5,5000,-,斬,王下七武海/超新星/ハートの海賊団,4,【起動メイン】【ターン1回】自分の特徴《超新星》か《ハートの海賊団》を持つキャラ2枚を選ぶ。選んだキャラそれぞれの元々のパワーを、このターン中、入れ替える。,,ブースターパック 蒼海の七傑【OP-14】,dummy.gif,
OP14-001,トラファルガー・ロー,L,LEADER,赤,ライフ,5,5000,-,斬,王下七武海/超新星/ハートの海賊団,4,【起動メイン】【ターン1回】自分の特徴《超新星》か《ハートの海賊団》を持つキャラ2枚を選ぶ。選んだキャラそれぞれの元々のパワーを、このターン中、入れ替える。,,ブースターパック 蒼海の七傑【OP-14】,dummy.gif,
OP14-002,ウルージ,UC,CHARACTER,赤,コスト,3,2000,1000,打,超新星/破戒僧海賊団,4,【アタック時】このキャラのパワーが5000以上の場合、カード1枚を引き、相手の元々のパワー3000以下のキャラ1枚までを、KOする。,,ブースターパック 蒼海の七傑【OP-14】,dummy.gif,
OP14-003,カポネ・ベッジ,C,CHARACTER,赤,コスト,1,2000,1000,射,超新星/ファイアタンク海賊団,4,このキャラは相手の元々のパワー5000以下のキャラの効果でKOされない。,,ブースターパック 蒼海の七傑【OP-14】,dummy.gif,
OP14-004,キャベンディッシュ,UC,CHARACTER,赤,コスト,2,2000,1000,斬,ドレスローザ/超新星/美しき海賊団,4,このキャラのパワーが5000以上の場合、このキャラは【速攻】を得る。(このカードは登場したターンにアタックできる),,ブースターパック 蒼海の七傑【OP-14】,dummy.gif,
OP14-005,キラー,C,CHARACTER,赤,コスト,1,1000,1000,斬,超新星/キッド海賊団,4,【起動メイン】【ターン1回】自分のリーダーかキャラ1枚にレストのドン‼1枚までを、付与する。,,ブースターパック 蒼海の七傑【OP-14】,dummy.gif,
OP14-006,シャチ＆ペンギン,C,CHARACTER,赤,コスト,2,2000,1000,射,ハートの海賊団,4,【アタック時】このキャラのパワーが5000以上の場合、相手のキャラ1枚までを、このターン中、パワー-2000。,,ブースターパック 蒼海の七傑【OP-14】,dummy.gif,
OP14-007,ジュエリー・ボニー,C,CHARACTER,赤,コスト,6,7000,2000,特,超新星/ボニー海賊団,4,-,,ブースターパック 蒼海の七傑【OP-14】,dummy.gif,
OP14-008,スクラッチメン・アプー,C,CHARACTER,赤,コスト,3,5000,1000,特,超新星/オンエア海賊団,4,-,,ブースターパック 蒼海の七傑【OP-14】,dummy.gif,
OP14-009,トラファルガー・ロー,SR,CHARACTER,赤,コスト,9,10000,-,斬,王下七武海/超新星/ハートの海賊団,4,【速攻】【相手のアタック時】【ターン1回】自分の手札2枚を捨てることができる：自分のリーダーとキャラ1枚を選ぶ。選んだカードそれぞれの元々のパワーを、このバトル中、入れ替える。,,ブースターパック 蒼海の七傑【OP-14】,dummy.gif,
OP14-009,トラファルガー・ロー,SR,CHARACTER,赤,コスト,9,10000,-,斬,王下七武海/超新星/ハートの海賊団,4,【速攻】【相手のアタック時】【ターン1回】自分の手札2枚を捨てることができる：自分のリーダーとキャラ1枚を選ぶ。選んだカードそれぞれの元々のパワーを、このバトル中、入れ替える。,,ブースターパック 蒼海の七傑【OP-14】,dummy.gif,
OP14-010,バジル・ホーキンス,UC,CHARACTER,赤,コスト,1,2000,1000,斬,超新星/ホーキンス海賊団,4,【KO時】自分のデッキの上から5枚を見て、「バジル・ホーキンス」以外のパワー2000以下の特徴《超新星》を持つキャラカード1枚までを、登場させる。その後、残りを好きな順番でデッキの下に置く。,,ブースターパック 蒼海の七傑【OP-14】,dummy.gif,
OP14-011,バルトロメオ,UC,CHARACTER,赤,コスト,2,2000,2000,特,ドレスローザ/超新星/バルトクラブ,4,【ドン‼×2】このキャラは【ブロッカー】を得る。(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),,ブースターパック 蒼海の七傑【OP-14】,dummy.gif,
OP14-012,ベポ,C,CHARACTER,赤,コスト,2,2000,1000,打,ミンク族/ハートの海賊団,4,【アタック時】このキャラのパワーが5000以上の場合、自分のリーダーかキャラ1枚にレストのドン‼2枚までを、付与する。,,ブースターパック 蒼海の七傑【OP-14】,dummy.gif,
OP14-013,モンキー・Ｄ・ルフィ,SR,CHARACTER,赤,コスト,1,-,1000,打,超新星/麦わらの一味,4,【登場時】自分のデッキの上から5枚を見て、「モンキー・Ｄ・ルフィ」以外の特徴《超新星》を持つカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。【アタック時】相手のキャラ1枚までを、このターン中、パワー-1000。,,ブースターパック 蒼海の七傑【OP-14】,dummy.gif,
